"Tabela 6450 - Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Cód.";"Município";"Ano x Variável x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Cód.";"Município";"2019"
"Cód.";"Município";"Pessoal ocupado assalariado (Pessoas)";;"Salários e outras remunerações (Mil Reais)"
"Cód.";"Município";"Total";"55.10-8 Hotéis e similares";"Total";"55.10-8 Hotéis e similares"
"1504406";"Marapanim (PA)";"1477";"X";"41471";"X"
"1504422";"Marituba (PA)";"17195";"53";"470153";"813"
"1504455";"Medicilândia (PA)";"1466";"X";"40376";"X"
"1504505";"Melgaço (PA)";"1060";"-";"44675";"-"
"1504604";"Mocajuba (PA)";"2000";"X";"53824";"X"
"1504703";"Moju (PA)";"7444";"22";"196264";"245"
"1504752";"Mojuí dos Campos (PA)";"910";"-";"24039";"-"
"1504802";"Monte Alegre (PA)";"3188";"6";"74238";"72"
"1504901";"Muaná (PA)";"1002";"X";"31176";"X"
"1504950";"Nova Esperança do Piriá (PA)";"1085";"-";"31300";"-"
"1504976";"Nova Ipixuna (PA)";"807";"-";"27554";"-"
"1505007";"Nova Timboteua (PA)";"853";"-";"18004";"-"
"1505031";"Novo Progresso (PA)";"3740";"49";"121195";"732"
"1505064";"Novo Repartimento (PA)";"4246";"17";"113102";"294"
"1505106";"Óbidos (PA)";"3438";"X";"82643";"X"
"1505205";"Oeiras do Pará (PA)";"1291";"X";"49293";"X"
"1505304";"Oriximiná (PA)";"7127";"9";"274164";"149"
"1505403";"Ourém (PA)";"526";"X";"17819";"X"
"1505437";"Ourilândia do Norte (PA)";"3178";"24";"104874";"383"
"1505486";"Pacajá (PA)";"2235";"X";"79027";"X"
"1505494";"Palestina do Pará (PA)";"394";"-";"10349";"-"
"1505502";"Paragominas (PA)";"16490";"158";"513866";"2696"
"1505536";"Parauapebas (PA)";"52715";"363";"1841100";"6160"
"1505551";"Pau D'Arco (PA)";"640";"-";"15903";"-"
"1505601";"Peixe-Boi (PA)";"429";"X";"8123";"X"
"1505635";"Piçarra (PA)";"989";"-";"25746";"-"
"1505650";"Placas (PA)";"937";"4";"26367";"61"
"1505700";"Ponta de Pedras (PA)";"1179";"X";"26357";"X"
"1505809";"Portel (PA)";"4129";"X";"110735";"X"
"1505908";"Porto de Moz (PA)";"2389";"X";"54197";"X"
"1506005";"Prainha (PA)";"1765";"-";"46505";"-"
"1506104";"Primavera (PA)";"891";"X";"25929";"X"
"1506112";"Quatipuru (PA)";"527";"-";"12213";"-"
"1506138";"Redenção (PA)";"12793";"116";"339830";"1771"
"1506161";"Rio Maria (PA)";"2427";"12";"60262";"209"
"1506187";"Rondon do Pará (PA)";"3173";"14";"91657";"294"
"1506195";"Rurópolis (PA)";"1898";"16";"56586";"234"
"1506203";"Salinópolis (PA)";"4244";"X";"97050";"X"
"1506302";"Salvaterra (PA)";"1255";"32";"26407";"692"
"1506351";"Santa Bárbara do Pará (PA)";"2784";"-";"48128";"-"
"1506401";"Santa Cruz do Arari (PA)";"300";"-";"7392";"-"
"1506500";"Santa Izabel do Pará (PA)";"8468";"14";"190807";"220"
"1506559";"Santa Luzia do Pará (PA)";"1169";"X";"27487";"X"
"1506583";"Santa Maria das Barreiras (PA)";"1238";"X";"35632";"X"
"1506609";"Santa Maria do Pará (PA)";"2052";"8";"38682";"160"
"1506708";"Santana do Araguaia (PA)";"4038";"39";"113500";"440"
"1506807";"Santarém (PA)";"40328";"X";"1139498";"X"
"1506906";"Santarém Novo (PA)";"541";"-";"11328";"-"
"1507003";"Santo Antônio do Tauá (PA)";"1831";"-";"46741";"-"
"1507102";"São Caetano de Odivelas (PA)";"830";"-";"21435";"-"
"1507151";"São Domingos do Araguaia (PA)";"1552";"X";"35078";"X"
"1507201";"São Domingos do Capim (PA)";"2347";"-";"54001";"-"
"1507300";"São Félix do Xingu (PA)";"4184";"21";"133883";"233"
"1507409";"São Francisco do Pará (PA)";"1027";"X";"24421";"X"
"1507458";"São Geraldo do Araguaia (PA)";"2509";"6";"57746";"95"
"1507466";"São João da Ponta (PA)";"327";"-";"6719";"-"
"1507474";"São João de Pirabas (PA)";"1358";"-";"33511";"-"
"1507508";"São João do Araguaia (PA)";"720";"X";"19192";"X"
"1507607";"São Miguel do Guamá (PA)";"5041";"8";"103331";"113"
"1507706";"São Sebastião da Boa Vista (PA)";"1257";"-";"36988";"-"
"1507755";"Sapucaia (PA)";"832";"-";"18326";"-"
"1507805";"Senador José Porfírio (PA)";"705";"-";"21482";"-"
"1507904";"Soure (PA)";"1304";"19";"32618";"264"
"1507953";"Tailândia (PA)";"10189";"X";"226388";"X"
"1507961";"Terra Alta (PA)";"584";"-";"11812";"-"
"1507979";"Terra Santa (PA)";"1412";"X";"33360";"X"
"1508001";"Tomé-Açu (PA)";"7973";"X";"166202";"X"
"1508035";"Tracuateua (PA)";"1434";"X";"38927";"X"
"1508050";"Trairão (PA)";"960";"X";"25860";"X"
"1508084";"Tucumã (PA)";"4241";"49";"119711";"763"
"1508100";"Tucuruí (PA)";"10437";"56";"293030";"1075"
"1508126";"Ulianópolis (PA)";"4343";"X";"97917";"X"
"1508159";"Uruará (PA)";"2846";"20";"66279";"320"
"1508209";"Vigia (PA)";"2440";"X";"60454";"X"
"1508308";"Viseu (PA)";"3324";"-";"75551";"-"
"1508357";"Vitória do Xingu (PA)";"2236";"X";"126143";"X"
"1508407";"Xinguara (PA)";"7840";"82";"196696";"1375"
"1600055";"Serra do Navio (AP)";"360";"X";"9993";"X"
"1600105";"Amapá (AP)";"707";"X";"16214";"X"
"1600154";"Pedra Branca do Amapari (AP)";"2006";"X";"87990";"X"
"1600204";"Calçoene (AP)";"611";"X";"12248";"X"
"1600212";"Cutias (AP)";"396";"-";"6984";"-"
"1600238";"Ferreira Gomes (AP)";"691";"X";"24448";"X"
"1600253";"Itaubal (AP)";"343";"-";"8094";"-"
"1600279";"Laranjal do Jari (AP)";"2297";"8";"73123";"150"
"1600303";"Macapá (AP)";"107069";"X";"5566803";"X"
"1600402";"Mazagão (AP)";"1284";"X";"30687";"X"
"1600501";"Oiapoque (AP)";"1707";"X";"42233";"X"
"1600535";"Porto Grande (AP)";"1624";"X";"42214";"X"
"1600550";"Pracuúba (AP)";"289";"-";"6446";"-"
"1600600";"Santana (AP)";"9929";"89";"244199";"1570"
"1600709";"Tartarugalzinho (AP)";"668";"-";"20087";"-"
"1600808";"Vitória do Jari (AP)";"776";"-";"25853";"-"
"1700251";"Abreulândia (TO)";"154";"-";"4908";"-"
"1700301";"Aguiarnópolis (TO)";"1249";"X";"24673";"X"
"1700350";"Aliança do Tocantins (TO)";"468";"X";"10439";"X"
"1700400";"Almas (TO)";"585";"X";"11703";"X"
"1700707";"Alvorada (TO)";"1494";"9";"53642";"127"
"1701002";"Ananás (TO)";"752";"X";"15741";"X"
"1701051";"Angico (TO)";"290";"-";"5251";"-"
"1701101";"Aparecida do Rio Negro (TO)";"498";"-";"10443";"-"
"1701309";"Aragominas (TO)";"256";"-";"6471";"-"
"1701903";"Araguacema (TO)";"409";"X";"9796";"X"
"1702000";"Araguaçu (TO)";"800";"X";"17552";"X"
"1702109";"Araguaína (TO)";"31410";"269";"860119";"4146"
"1702158";"Araguanã (TO)";"289";"-";"9338";"-"
"1702208";"Araguatins (TO)";"1913";"19";"52146";"293"
"1702307";"Arapoema (TO)";"905";"-";"28463";"-"
"1702406";"Arraias (TO)";"923";"X";"39959";"X"
"1702554";"Augustinópolis (TO)";"1612";"20";"34019";"375"
"1702703";"Aurora do Tocantins (TO)";"249";"X";"4179";"X"
"1702901";"Axixá do Tocantins (TO)";"702";"-";"21771";"-"
"1703008";"Babaçulândia (TO)";"871";"X";"11151";"X"
"1703057";"Bandeirantes do Tocantins (TO)";"395";"-";"10362";"-"
"1703073";"Barra do Ouro (TO)";"319";"-";"6401";"-"
"1703107";"Barrolândia (TO)";"530";"X";"9512";"X"
"1703206";"Bernardo Sayão (TO)";"373";"-";"10122";"-"
"1703305";"Bom Jesus do Tocantins (TO)";"233";"-";"6368";"-"
"1703602";"Brasilândia do Tocantins (TO)";"248";"-";"5385";"-"
"1703701";"Brejinho de Nazaré (TO)";"516";"-";"12710";"-"
"1703800";"Buriti do Tocantins (TO)";"603";"X";"11286";"X"
"1703826";"Cachoeirinha (TO)";"255";"-";"4037";"-"
"1703842";"Campos Lindos (TO)";"809";"X";"20617";"X"
"1703867";"Cariri do Tocantins (TO)";"921";"X";"24671";"X"
"1703883";"Carmolândia (TO)";"243";"-";"4452";"-"
"1703891";"Carrasco Bonito (TO)";"291";"-";"5186";"-"
"1703909";"Caseara (TO)";"577";"X";"18188";"X"
"1704105";"Centenário (TO)";"235";"-";"4210";"-"
"1704600";"Chapada de Areia (TO)";"221";"-";"3576";"-"
"1705102";"Chapada da Natividade (TO)";"342";"-";"6727";"-"
"1705508";"Colinas do Tocantins (TO)";"4316";"62";"109307";"868"
"1705557";"Combinado (TO)";"434";"-";"8082";"-"
"1705607";"Conceição do Tocantins (TO)";"309";"-";"6712";"-"
"1706001";"Couto Magalhães (TO)";"481";"-";"12485";"-"
"1706100";"Cristalândia (TO)";"607";"X";"11682";"X"
"1706258";"Crixás do Tocantins (TO)";"207";"-";"4161";"-"
"1706506";"Darcinópolis (TO)";"707";"X";"13777";"X"
"1707009";"Dianópolis (TO)";"1855";"19";"45494";"280"
"1707108";"Divinópolis do Tocantins (TO)";"743";"X";"15035";"X"
"1707207";"Dois Irmãos do Tocantins (TO)";"319";"-";"7903";"-"
"1707306";"Dueré (TO)";"459";"-";"9902";"-"
"1707405";"Esperantina (TO)";"476";"-";"11671";"-"
"1707553";"Fátima (TO)";"361";"X";"8146";"X"
"1707652";"Figueirópolis (TO)";"474";"X";"11114";"X"
"1707702";"Filadélfia (TO)";"556";"-";"11676";"-"
"1708205";"Formoso do Araguaia (TO)";"2029";"12";"53084";"219"
"1708254";"Tabocão (TO)";"611";"X";"14629";"X"
"1708304";"Goianorte (TO)";"273";"-";"7006";"-"
"1709005";"Goiatins (TO)";"570";"-";"15857";"-"
"1709302";"Guaraí (TO)";"2987";"51";"76965";"728"
"1709500";"Gurupi (TO)";"14705";"X";"400956";"X"
"1709807";"Ipueiras (TO)";"217";"X";"4386";"X"
"1710508";"Itacajá (TO)";"423";"X";"10693";"X"
"1710706";"Itaguatins (TO)";"338";"-";"8821";"-"
"1710904";"Itapiratins (TO)";"209";"-";"6051";"-"
"1711100";"Itaporã do Tocantins (TO)";"211";"-";"4364";"-"
"1711506";"Jaú do Tocantins (TO)";"323";"-";"6830";"-"
"1711803";"Juarina (TO)";"212";"-";"3981";"-"
"1711902";"Lagoa da Confusão (TO)";"1634";"17";"46134";"372"
"1711951";"Lagoa do Tocantins (TO)";"279";"-";"5188";"-"
"1712009";"Lajeado (TO)";"505";"X";"13583";"X"
"1712157";"Lavandeira (TO)";"179";"-";"3068";"-"
"1712405";"Lizarda (TO)";"149";"-";"4489";"-"
"1712454";"Luzinópolis (TO)";"270";"-";"5239";"-"
"1712504";"Marianópolis do Tocantins (TO)";"559";"-";"13581";"-"
"1712702";"Mateiros (TO)";"352";"X";"7859";"X"
"1712801";"Maurilândia do Tocantins (TO)";"239";"-";"6055";"-"
"1713205";"Miracema do Tocantins (TO)";"1923";"9";"53701";"143"
"1713304";"Miranorte (TO)";"1200";"29";"28654";"518"
"1713601";"Monte do Carmo (TO)";"389";"-";"8151";"-"
"1713700";"Monte Santo do Tocantins (TO)";"190";"-";"4472";"-"
"1713809";"Palmeiras do Tocantins (TO)";"301";"-";"6976";"-"
"1713957";"Muricilândia (TO)";"335";"-";"6996";"-"
"1714203";"Natividade (TO)";"758";"X";"17515";"X"
"1714302";"Nazaré (TO)";"251";"-";"4514";"-"
"1714880";"Nova Olinda (TO)";"1251";"X";"33115";"X"
"1715002";"Nova Rosalândia (TO)";"247";"-";"5474";"-"
"1715101";"Novo Acordo (TO)";"457";"-";"8147";"-"
"1715150";"Novo Alegre (TO)";"166";"-";"3185";"-"
"1715259";"Novo Jardim (TO)";"263";"-";"6556";"-"
